customer_name,customer_gender,customer_id,product_name,product_price,product_category,customer_city,customer_state,month,year,customer_new_or_return,,
Wanda Edmunds,F,1004,Product 10,15,Shoes,Sydney,NSW,10,2014,new,,
Virginia Metcalfe,F,1016,Product 34,21,Accessories,Melbourne,VIC,2,2014,new,,
Virginia Metcalfe,F,1016,Product 21,79,Clothes-Women,Sydney,NSW,3,2014,return,,
Virginia Metcalfe,F,1016,Product 16,29,Clothes-Women,Sydney,NSW,9,2014,return,,
Virginia Metcalfe,F,1016,Product 4,19,Shoes,Sydney,NSW,9,2014,return,,
Virginia Metcalfe,F,1016,Product 13,25,Accessories,Sydney,NSW,9,2014,return,,
Virginia Metcalfe,F,1016,Product 23,49,Furniture,Sydney,NSW,10,2014,return,,
Virginia Metcalfe,F,1016,Product 47,11,Shoes,Sydney,NSW,11,2014,return,,
Dan Lewis,M,1032,Product 47,11,Accessories,Melbourne,VIC,10,2014,new,,
Joanne Roberts,F,1044,Product 68,95,Clothes-Women,Melbourne,VIC,10,2014,new,,
Hannah MacDonald,F,1052,Product 55,65,Bathroom,Melbourne,VIC,1,2014,new,,
Hannah MacDonald,F,1052,Product 4,19,Shoes,Sydney,NSW,7,2014,return,,
Hannah MacDonald,F,1052,Product 107,84,Bathroom,Melbourne,VIC,10,2014,return,,
Hannah MacDonald,F,1052,Product 2,39,Bathroom,Melbourne,VIC,10,2014,return,,
Hannah MacDonald,F,1052,Product 7,9,Shoes,Sydney,NSW,10,2014,return,,
Hannah MacDonald,F,1052,Product 4,19,Shoes,Sydney,NSW,11,2014,return,,
Hannah MacDonald,F,1052,Product 4,19,Shoes,Sydney,NSW,11,2014,return,,
Hannah MacDonald,F,1052,Product 4,19,Shoes,Sydney,NSW,11,2014,return,,
Hannah MacDonald,F,1052,Product 15,99,Bathroom,Melbourne,VIC,11,2014,return,,
Wanda Newman,F,1060,Product 12,59,Household,Brisbane,QLD,4,2014,new,,
Wanda Newman,F,1060,Product 23,49,Shoes,Sydney,NSW,8,2014,return,,
Wanda Newman,F,1060,Product 4,19,Shoes,Sydney,NSW,10,2014,return,,
Wanda Newman,F,1060,Product 23,49,Clothes-Men,Brisbane,QLD,12,2014,return,,
Keith Slater,M,1070,Product 3,14,Shoes,Sydney,NSW,10,2014,new,,
Keith Slater,M,1070,Product 57,10,Shoes,Sydney,NSW,11,2014,return,,
Penelope Paterson,F,1082,Product 16,29,Shoes,Sydney,NSW,5,2014,new,,
Penelope Paterson,F,1082,Product 4,19,Shoes,Sydney,NSW,6,2014,return,,
Penelope Paterson,F,1082,Product 18,24,Shoes,Sydney,NSW,6,2014,return,,
Penelope Paterson,F,1082,Product 7,9,Shoes,Sydney,NSW,7,2014,return,,
Penelope Paterson,F,1082,Product 81,13,Shoes,Sydney,NSW,10,2014,return,,
Penelope Paterson,F,1082,Product 6,5,Shoes,Sydney,NSW,10,2014,return,,
Penelope Paterson,F,1082,Product 4,19,Shoes,Sydney,NSW,10,2014,return,,
Olivia Berry,F,1085,Product 16,29,Household,Melbourne,VIC,7,2014,new,,
Olivia Berry,F,1085,Product 14,34,Outerwear,Melbourne,VIC,7,2014,return,,
Olivia Berry,F,1085,Product 22,28,Shoes,Sydney,NSW,7,2014,return,,
Olivia Berry,F,1085,Product 14,34,Outerwear,Melbourne,VIC,7,2014,return,,
Olivia Berry,F,1085,Product 13,25,Accessories,Melbourne,VIC,10,2014,return,,
Grace Young,F,1091,Product 2,39,Outerwear,Sydney,NSW,1,2014,new,,
Grace Young,F,1091,Product 20,109,Bathroom,Sydney,NSW,10,2014,return,,
Grace Young,F,1091,Product 39,138,Bathroom,Sydney,NSW,10,2014,return,,
Grace Young,F,1091,Product 45,199,Kitchen,Sydney,NSW,11,2014,return,,
Leah Gill,F,1094,Product 4,19,Household,Melbourne,VIC,10,2014,new,,
Joan Gill,F,1098,Product 2,39,Bathroom,Melbourne,VIC,1,2014,new,,
Joan Gill,F,1098,Product 2,39,Bathroom,Melbourne,VIC,4,2014,return,,
Joan Gill,F,1098,Product 10,15,Bathroom,Melbourne,VIC,4,2014,return,,
Joan Gill,F,1098,Product 2,39,Clothes-Women,Melbourne,VIC,7,2014,return,,
Joan Gill,F,1098,Product 4,19,Clothes-Women,Melbourne,VIC,10,2014,return,,
Joan Gill,F,1098,Product 16,29,Shoes,Sydney,NSW,12,2014,return,,
Deirdre Lee,F,1099,Product 2,39,Outerwear,Melbourne,VIC,6,2014,new,,
Deirdre Lee,F,1099,Product 62,75,Outerwear,Melbourne,VIC,6,2014,return,,
Deirdre Lee,F,1099,Product 4,19,Shoes,Sydney,NSW,10,2014,return,,
Abigail Cameron,F,1102,Product 2,39,Household,Sydney,NSW,1,2014,new,,
Abigail Cameron,F,1102,Product 12,59,Bathroom,Sydney,NSW,1,2014,return,,
Abigail Cameron,F,1102,Product 109,175,Bathroom,Sydney,NSW,4,2014,return,,
Abigail Cameron,F,1102,Product 68,95,Bathroom,Sydney,NSW,5,2014,return,,
Abigail Cameron,F,1102,Product 19,89,Bathroom,Sydney,NSW,10,2014,return,,
Abigail Cameron,F,1102,Product 1,16,Shoes,Sydney,NSW,12,2014,return,,
Neil Ball,M,1118,Product 8,69,Outerwear,Sydney,NSW,10,2014,new,,
Sonia Burgess,F,1122,Product 8,69,Shoes,Sydney,NSW,2,2014,new,,
Sonia Burgess,F,1122,Product 16,29,Shoes,Sydney,NSW,2,2014,return,,
Sonia Burgess,F,1122,Product 16,29,Shoes,Sydney,NSW,3,2014,return,,
Sonia Burgess,F,1122,Product 4,19,Shoes,Sydney,NSW,3,2014,return,,
Sonia Burgess,F,1122,Product 13,25,Shoes,Sydney,NSW,7,2014,return,,
Sonia Burgess,F,1122,Product 23,49,Bathroom,Melbourne,VIC,7,2014,return,,
Sonia Burgess,F,1122,Product 37,70,Bathroom,Melbourne,VIC,10,2014,return,,
Sonia Burgess,F,1122,Product 59,20,Household,Melbourne,VIC,10,2014,return,,
Sonia Burgess,F,1122,Product 59,20,Household,Melbourne,VIC,10,2014,return,,
